Title	Content	Coding
CNN Polls: Harris has a narrow edge in Michigan and Wisconsin, while she and Trump remain tied in Pennsylvania	Vice President Kamala Harris maintains a narrow advantage in two of the three blue wall states that collectively represent her clearest path to an Electoral College victory over former President Dona… [+8308 chars]	
Joe Rogan asks Trump about warm welcome he once received on 'The View': 'They all loved you'	"Podcast host Joe Rogan asked former President Trump on Friday about an appearance he did on ABC's ""The View,"" prior to running for president. He reminded the former president that the women of the pr… [+3073 chars]"	
Silicon Valley's Trump boosters celebrate: 'It's time to build'	"Elon Musk jumps for joy at Trump's rally in Butler, Pennsylvania.Jim Watson/AFP via Getty Images
Tech leaders who openly supported Donald Trump took to X to celebrate his win Wednesday morni… [+4286 chars]"	
Harris wants to upgrade America’s economy. Trump wants to blow it up and start over | CNN Business	"Vice President Kamala Harris wants to renovate the American economy. Former President Donald Trumps economic vision amounts to knocking it down and rebuilding it from the ground up.
The Harris econo… [+6062 chars]"	
Harris maintains strong lead among Black swing-state voters in a new poll	Vice President Kamala Harris still has a wide lead over former President Donald Trump among Black voters in battleground states, according to a new poll, which shows a key slice of undecided Black vo… [+3908 chars]	
Trump's tariffs will make it hard for automakers — including Tesla — to set up shop in Mexico	"A billboard welcoming Tesla to the Mexican state of Nuevo León, which was set to host Tesla's gigafactory.JULIO CESAR AGUILAR/AFP via Getty Images
Tesla's $10 billion Mexico gigafactory is i… [+5774 chars]"	
Elon Musk went all-in on Pennsylvania — and his expensive effort paid off big time	Elon Musk, the world's richest man, took a frenzied and controversial gamble on the biggest swing state in the 2024 race, and it paid off. President-elect Donald Trump won Pennsylvania and, with it, … [+7408 chars]	
Trump campaign defends his remarks about violence toward journalists	"Former President Donald Trump is doing damage control after seemingly espousing violence toward journalists.
During a campaign rally in Lititz, Pennsylvania, on Sunday, Trump made comments suggestin… [+1767 chars]"	
Donald Trump says press has lost all credibility, blasts Liz Cheney over distorted comments	"Former President Donald Trump joined ""Fox &amp; Friends Weekend"" to speak about the loss of public trust in the media and to respond to criticisms levied against him over comments that he made about … [+2698 chars]"	
What does it mean to ‘crash out’? A look at the phrase and why it’s rising in popularity	"A new slang phrase is making its way around social media, specifically following the results of the 2024 presidential election.
""Crash out"" has been in the Gen Alpha and Gen Z vernacular for several… [+3552 chars]"	
'Adjourn, adjourn, adjourn' — Trump is expected to use new status as president-elect to delay hush-money sentencing	"President-elect Donald Trump speaks at an election night event at the Palm Beach Convention Center on November 06, 2024Chip Somodevilla/Getty Images
Trump will try to use his new status as p… [+6616 chars]"	
Donald Trump, WWE legend The Undertaker discuss intricacies of wrestling: 'I find it very interesting'	"In continuing his media buzz ahead of the election, former President Donald Trump dipped back into the sports world, but in a different avenue.
The three-time Republican nominee appeared on the ""Six… [+3239 chars]"	
Live updates: Donald Trump, Kamala Harris election news | CNN Politics	Vice President Kamala Harris appeared on Saturday Night Live, making a surprise stop during the shows last episode before Election Day to give her fictional self some advice ahead of Tuesdays preside… [+1516 chars]	
Biden and Trump to meet Wednesday at the White House	"WASHINGTON President Joe Biden and President-elect Donald Trump will meet on Wednesday in the Oval Office.
The meeting will take place at 11:00 a.m., Biden press secretary Karine Jean-Pierre said in… [+231 chars]"	
Elon Musk daily $1 million payouts at Trump rally draw legal scrutiny	Billionaire Elon Musk promised on Saturday to give away $1 million each day until November's election to someone who signs his online petition, with the first prize awarded at a PAC event supporting … [+2983 chars]	
What would a Kamala Harris or Donald Trump victory mean for the stock market?	The stock market has climbed over the course of the presidential campaign, raising questions about whether the rally will continue depending upon which candidate wins: Vice President Kamala Harris or… [+4537 chars]	
JASON CHAFFETZ: How did Trump do it?	"Join Fox News for access to this content
Plus special access to select articles and other premium content with your account - free of charge.
By entering your email and pushing continue, you are ag… [+4231 chars]"	
Boxing Hall of Famer Thomas 'Hitman' Hearns joins Trump on stage at Detroit rally: 'This can't be real'	"Former President Trump held a rally in the Detroit area, and he invited a local legend to the stage.
The three-time Republican presidential nominee was at Huntington Place in downtown Detroit, and, … [+1801 chars]"	
Highlights from President-elect Donald Trump’s first term as president of the United States	"President-elect Trump secured a second term in office after defeating Vice President Kamala Harris in the 2024 presidential election race. 
Trump served his first term after winning the 2016 preside… [+6583 chars]"	
Small and 'chaotic' House Republican majority poses challenges for the new Trump era	WASHINGTON Over the last two years, a narrow Republican House majority has fought bitterly over everything from electing a speaker, keeping the government functioning and even passing symbolic messag… [+8090 chars]	
Summers sounds alarm bell on inflation...	"When many were celebrating the remarkable economic recovery from the pandemic in the spring of 2021, Larry Summers warned the White House and the rest of Washington that inflation was a real danger.… [+3320 chars]"	
Officials prepare for protests and possible violence on Election Day | The Excerpt	On Fridays episode of The Excerpt podcast (first released on November 1, 2024): USA TODAY Senior National Political Correspondent Sarah D. Wire discusses preparations ahead of Tuesday at election off… [+13451 chars]	
'Shark Tank' star Mark Cuban says Donald Trump's China tariffs would ruin Christmas next year	"""Shark Tank"" star Mark Cuban said Donald Trump's planned tariffs would ruin Christmas next year.Allen Berezovsky via Getty Images; Jeff Kowalsky/AFP via Getty Images
Donald Trump's planned t… [+2250 chars]"	
Trump has promised lower interest rates. That will be largely out of his control.	"WASHINGTON As a candidate, Donald Trump promised to relieve consumers of high interest rates. As president, doing so will likely be a slow process largely outside of his control.
Trump repeatedly sa… [+5951 chars]"	
FEMA employee fired after advising disaster relief team not to visit homes with pro-Trump signs	"A Federal Emergency Management Agency employee was fired after recently advising a disaster relief team to not visit homes with yard signs that support President-elect Donald Trump. 
FEMA did not cl… [+1423 chars]"	
How Donald Trump is laying the groundwork to dispute the election results – again | CNN Politics	Donald Trump is re-using his 2020 playbook to baselessly claim the 2024 election is being stolen from him and is being joined by allies with big megaphones amplifying his falsehoods ahead of Election… [+15894 chars]	
Trump, Harris nearly tied in Michigan as Election Day nears, poll finds	"A new poll has found that former President Donald Trump and Vice President Kamala Harris are essentially tied among voters in the battleground state of Michigan. 
The Washington Post poll of 1,004 r… [+1524 chars]"	
WWE legend Hulk Hogan says Trump assassination attempt forced him to speak up: 'This has to stop'	"Join Fox News for access to this content
Plus special access to select articles and other premium content with your account - free of charge.
By entering your email and pushing continue, you are ag… [+2900 chars]"	
Don compares jailed Capitol rioters to Japanese internment during WWII...	Former President Donald Trump said that rioters who stormed the U.S. Capitol on Jan. 6, 2021 are being treated like Japanese Americans who were incarcerated on U.S. soil during World War II.	
Trump’s second term will look nothing like his first | CNN Politics	"Donald Trumps election victory will return him to the White House, but both his allies and detractors have made clear his second time around will look nothing like the first.
With the Republican Par… [+8775 chars]"	
Jeff Yass is making a big final splash to help former hedge funder Dave McCormick's Senate campaign	"Former Bridgewater Associates CEO Dave McCormick has his old Wall Street pals to thank for helping pad the coffers of a supportive super PAC.Anna Moneymaker/Getty Images
Former hedge funder … [+2450 chars]"	
What's next for tech giants like Google, Apple, and Microsoft now that Trump has won	"Donald Trump at a Philadelphia campaign rally.Anna Moneymaker/Getty Images
The tech sector is bracing itself for change under a second Trump presidency.AI regulation is likely to ch… [+10591 chars]"	
Black men are a coveted — somewhat movable — voting bloc. Seven told us how they planned to vote.	As Election Day approaches, the campaigns are putting significant time and attention toward courting Black men, seen as a crucial and potentially movable voting bloc in a tight presidential race. Bot… [+14275 chars]	
Susie Wiles, Trump’s incoming chief of staff, has withstood his political whims (so far)	Donald Trump announced his first staffing choices for his administration Thursday, naming longtime Republican political operative Susie Wiles, who worked on all three of his presidential campaigns, a… [+2168 chars]	
Trump, Harris neck and neck as Dems lose ground among Latino, Black voters: poll	Former President Donald Trump and Vice President Kamala Harris are neck and neck in recent polling as they enter the final leg of the presidential race, as the Democratic nominee appears to be losing… [+3419 chars]	
The blue wall was Kamala Harris' clearest path to the White House. Here's why it faded away.	"Vice President Kamala Harris made a final push for votes with an Election Day eve rally in Philadelphia.AP Photo/Jacquelyn Martin
Democrats hoped Vice President Harris could win the White Ho… [+5698 chars]"	
Tracking who Trump has named to serve in his Cabinet, administration	"President-elect Donald Trump, ahead of his return to power in January, is announcing who he wants to fill Cabinet positions and other key roles inside his administration.
Trump began to roll out his… [+6600 chars]"	
Trump and Harris hold dueling events in Texas	"Former GOP Rep. Liz Cheney will campaign in Michigan on Monday with Rep. Elissa Slotkin, Democrats' Senate nominee in Michigan.
Cheney and Slotkin will be in Grand Rapids, once a conservative strong… [+1507 chars]"	
Donald Trump’s top three ‘SNL’ moments	"Presidential nominees Donald Trump and Kamala Harris have now both appeared on ""Saturday Night Live,"" though at very different points in their campaigns.
Harris brief appearance, playing herself opp… [+3900 chars]"	
The view from abroad: Foreign policy in the 2024 US presidential election	"LONDON -- The showdown between Vice President Kamala Harris and former President Donald Trump will in many ways be a choice between foreign policy continuity and change.
Harris has largely stuck to … [+13360 chars]"	
Live updates: Trump wins the 2024 presidential election, CNN projects | CNN Politics	Russian President Vladimir Putin has no plans to congratulate Donald Trump, the Kremlin spokesperson said, adding, Lets not forget that we are talking about an unfriendly country that is both directl… [+1767 chars]	
Justice Dept. to focus on 'most egregious' Jan. 6 cases until Trump is inaugurated	"WASHINGTON The Justice Department plans to focus on arresting the ""most egregious"" Jan. 6 rioters particularly those who committed felony assaults on law enforcement officers but have not yet been ar… [+6673 chars]"	
Federal Reserve blocks Basel Committee’s climate disclosure plan, raising tensions with Europe	US regulators led by the Federal Reserve have refused to endorse a plan that would have seen the Basel Committee on Banking Supervision push lenders to disclose their climate risk, according to peopl… [+7610 chars]	
Blinken entourage rushes to shelter amid Hezbollah attack on Tel Aviv | The Excerpt	On Thursday's episode of The Excerpt podcast: Secretary of State Anthony Blinken is visiting the Middle East this week, amid heightened tensions. North Korean troops are in Russia, according to the U… [+16451 chars]	
Sales of 'The Handmaid's Tale' rose nearly 7,000% this week on Amazon — but 'Melania' takes the No. 1 bestseller spot	"Since Donald Trump was declared the winner of the 2024 election, Margaret Atwood's 1985 dystopian novel ""The Handmaid's Tale"" has surged from No. 209 to No. 2 on the Amazon Best Sellers list.
By Thu… [+2064 chars]"	
Elon Musk keeps up pro-Trump spending spree as Harris continues to dominate money race, new filings show | CNN Politics	Elon Musk plowed nearly $44 million in October into a super PAC working to restore Donald Trump to the White House pushing the billionaires total donations to the group he established to benefit the … [+5653 chars]	
America's chipmaking push will continue no matter who gets elected	"Efforts to boost the US's production of semiconductor chips are likely to continue regardless of who wins the presidential election.iStock; Rebecca Zisser/BI
US efforts to produce semiconduc… [+8420 chars]"	
The S&P 500 will gain 11% by mid-2025 as the bull market accelerates under Trump, Evercore says	"It is still early days for the bull market and the rally is set to accelerate under the coming Donald Trump presidency, according to Evercore ISI analyst Julian Emanuel.
Emanuel says the S&amp;P 500… [+1488 chars]"	
Harris holds narrow lead over Trump in 'blue wall' states Michigan, Pennsylvania, Wisconsin: poll	"A slew of new polls show Vice President Kamala Harris taking a narrow lead over former President Donald Trump in the ""blue wall"" states many forecasters say she needs to win to clinch the presidency.… [+3686 chars]"	
Harris' chances are still alive after she won a key vote in Nebraska	Vice President Kamala Harris' increasingly perilous path to the White House is still alive thanks to her projected win of Nebraska's 2nd Congressional District, carrying an area that was once reliabl… [+2142 chars]	
Dogecoin spikes another 15% after Musk appointed to lead DOGE department for Trump	"Dogecoin has gotten a big boost since Donald Trump won the presidential election last week amid a market-wide surge for cryptos of all types.
The dog-themed crypto had surged roughly 140% since Nove… [+1451 chars]"	
Election betting odds tighten as polls show Harris has momentum	"Vice President Kamala Harris' betting odds jumped overnight after a new poll showed she held a surprise lead over former President Donald Trump in Iowa a state he won easily in both 2016 and 2020.
A… [+1284 chars]"	
Why Aileen Cannon may have won big at the ballot box	While its only a matter of time before Donald Trumps federal criminal cases are gone, theres an important distinction between the two prosecutions, which the Justice Department reportedly has been ev… [+1734 chars]	
Election Day officially begins as Harris, Trump tie in Dixville Notch midnight vote	"Vice President Kamala Harris and former President Donald Trump have tied in the Dixville Notch midnight vote kicking off the official start to 2024's Election Day.
Following the national trends, ind… [+1373 chars]"	
Trump asks Rep. Mike Waltz, China hawk, to be his national security adviser	WASHINGTON President-elect Donald Trump has asked U.S. Rep. Michael Waltz, a retired Army National Guard officer and war veteran, to be his national security adviser, a person familiar with the matte… [+9877 chars]	
Joe Rogan endorsed Donald Trump, saying Elon Musk made a 'compelling case' for the former president	"Joe Rogan endorsed Donald Trump ahead of the election.Getty Images
Podcaster Joe Rogan endorsed Donald Trump in a Monday evening post.Rogan cited Elon Musk, saying the billionaire m… [+2133 chars]"	
Jack Smith plans to step down before Donald Trump takes office	"Special counsel Jack Smith and his team plan to resign before President-elect Donald Trump takes office, NBC News reported, citing a source familiar with the matter.
The New York Times, citing peopl… [+2209 chars]"	
The data is in: Trump’s age isn’t getting the coverage it deserves	Donald Trump or Kamala Harris could be the most consequential president ever elected, such is the crossroads where we find our country. And as Trumps increasingly erratic behavior is raising question… [+4197 chars]	
BRENT BOZELL: The surprising way Donald Trump can win it all against Kamala Harris	"Join Fox News for access to this content
Plus special access to select articles and other premium content with your account - free of charge.
By entering your email and pushing continue, you are ag… [+5828 chars]"	
At the finish line, Trump’s former vice president still isn’t backing him	Its been nearly eight months since former Vice President Mike Pence appeared on Fox News and gave the political world an unexpected jolt. Donald Trump is pursuing and articulating an agenda that is a… [+2625 chars]	
Why JPMorgan says election gridlock will be the best-case scenario for stocks	"Regardless of the next president, JPMorgan expects stocks to rise if the US election delivers a divided Congress.
""Under either gridlock scenario, we think equities reprice higher as we clear the un… [+1859 chars]"	
Unsealing of filing offers limited look at evidence in Jan. 6 case against Trump	The judge overseeing Donald Trump's federal election interference case on Friday unsealed the redacted appendix of evidence gathered by special counsel Jack Smith, offering a glimpse of the evidence … [+2985 chars]	
Harris and Trump make a furious final push before Election Day	RALEIGH, N.C. A presidential campaign that has careened through a felony trial, an incumbent president being pushed off the ticket and multiple assassination attempts comes down to a final sprint acr… [+13440 chars]	
Trump’s offensive against the free press takes an unsettling turn	Donald Trumps principal opponent is, of course, Kamala Harris, but the former president targets independent news organizations with nearly the same vigor as the Democratic vice president. There are, … [+2336 chars]	
WaPo editor on how the 2024 election will be remembered	"Mary Jordan, associate editor at the Washington Post, sat down with ABC News to discuss Donald Trump's historic victory and what Melania Trump's second term as first lady might look like.
Jordan, th… [+4326 chars]"	
Opinion: I asked Mark Cuban why he has gone all in for Harris. Here's what he told me.	"Mark Cuban might make a good president someday, but he hasn't ventured far into politics.
At least, until this year.
The part owner of the NBA Dallas Mavericks and a ""Shark Tank"" investor isn't exa… [+8513 chars]"	
Trump’s former pick to join the Federal Reserve has proposed a radical solution to solve inflation	"Millions of Americans are frustrated that their dollars arent going as far as they once did at the supermarket, on rent or on car insurance.
Judy Shelton, a controversial economist who has been floa… [+6270 chars]"	
Cardinal Dolan 'upset' that Harris skipping Al Smith Dinner	"Cardinal Timothy Dolan, the Archbishop of New York, said he was ""upset"" that Vice President Harris, the Democratic presidential nominee, is skipping out on the Al Smith charity dinner on Thursday. 
… [+2922 chars]"	
Harris showed minimal losses among Black men, but analysts say she should have won more	Black men had been perceived as a voting bloc ripe for Donald Trump to attract after many expressed concerns a year ago about Joe Bidens re-election efforts. An NBC News poll at that time showed that… [+6109 chars]	
Inside Trump and Putin's first phone call since the election	"President-elect Donald Trump told Russian President Vladimir Putin not to escalate the war in Ukraine during a phone call last week, The Washington Post reported on Sunday.
The phone call on Thursda… [+2876 chars]"	
Benjamin Netanyahu won the U.S. presidential election	Israeli Prime Minister Benjamin Netanyahu, whose leadership credentials, judgment and popularity have taken a big hit since Hamas Oct. 7, 2023, attacks on Israel and the subsequent wars in Gaza and L… [+7022 chars]	
As Trump targets the free press, there’s no room for cowardice	At a campaign rally in Michigan on Friday night, Donald Trump returned to one of the few messages he emphasizes just about every day as Election Day draws closer. 60 Minutes should be taken off the a… [+4059 chars]	
The Federal Reserve gives Americans another interest rate cut	"Federal Reserve chair Jerome Powell announced another interest rate cut.MANDEL NGAN/AFP via Getty Images; Chelsea Jia Feng/BI
The Federal Reserve cut interest rates by 25 basis points on Thu… [+2827 chars]"	
Rapper Young Thug pleads guilty in YSL Records case in Atlanta	But Fulton County Superior Court Judge Paige Reese Whitaker rejected that suggestion. She sentenced the rapper to 40 years, with five years in prison. Whitaker also commuted the sentence to time serv… [+10572 chars]	
Donald Trump again asks court to dismiss January 6 criminal case, saying special counsel is unconstitutional | CNN Politics	Donald Trumps legal team is asking a federal court to dismiss the January 6, 2021, election subversion case, saying that the office of special counsel Jack Smith is unconstitutional, in a court filin… [+4142 chars]	
RFK Jr. asks Supreme Court to take him off Wisconsin ballot, despite missing deadline	WASHINGTON Robert F. Kennedy Jr. has asked the Supreme Court to take his name off the presidential ballot in Wisconsin in an emergency petition filed weeks after hundreds of thousands of ballots have… [+1904 chars]	
Trump’s 2024 victory revealed voter shifts that could reshape America’s political landscape | CNN Politics	President-elect Donald Trump won across the map improving on Republican margins nearly everywhere and delivering on his promises to win over more non-White voters on his way to defeating Vice Preside… [+8543 chars]	
WATCH: JD Vance will still ‘love you’ if you don’t vote for him	"Trump and Harris make final push, get last-minute endorsements
North Carolina voters head to polls in wake of hurricanes
Harris makes final pitch to voters across Pennsylv… [+4168 chars]"	
Trump turns to allies on capitol hill to fill top cabinet posts	President-elect Donald Trump is raiding the House of Representatives as he stocks his cabinet, threatening to cut into whats likely to be a razor-thin majority for Speaker Mike Johnson in the early d… [+9239 chars]	
What mattered more to Trump: Musk's money, or Musk's platform?	"Elon Musk's support for Trump helped land him an onstage appearance at last month's Madison Square Garden rally.Jabin Botsford/The Washington Post via Getty Images
Elon Musk's Twitter purcha… [+3160 chars]"	
Flight logs show Elon Musk's private jets are busy hitting swing states as he campaigns for Trump	"Elon Musk is campaigning for Donald Trump in Pennsylvania.Ryan Collerd/AFP via Getty Images
Elon Musk's private planes made eight flights to Pennsylvania this past week, flight logs show.</l… [+4318 chars]"	
Trump posts AI-generated photo of himself as Steelers player, wearing No 47, ahead of appearance at game	"The Pittsburgh Steelers did not need much help handling the New York Jets on Sunday, but former President Donald Trump was ready if needed.
The Steelers defeated the Jets, 37-15, on Sunday night in … [+1701 chars]"	
Vance, in Joe Rogan interview, predicts Trump will win 'the normal gay guy vote'	In an interview with popular podcaster Joe Rogan, Republican vice presidential nominee JD Vance suggested that he and Donald Trump can win the normal gay guy vote and that families with transgender c… [+6359 chars]	
Why Trump can’t pretend his rally’s anti-Puerto Rican racism was just a joke	"I am Puerto Rican, and I am tired.
When comedian Tony Hinchcliffe joked Sunday that Puerto Rico was a floating island of garbage at the start of a Donald Trump rally at Madison Square Garden, I was … [+4762 chars]"	
Polls close in Georgia, North Carolina as US results roll iIn	Polls closed across nine US states including the pivotal battlegrounds of Georgia and North Carolina and early results are beginning to be tallied as the nation watches for signs of how voters broke … [+8885 chars]	
Woman runs onto Steelers' field with pro-Trump sign as former president attends game	"One woman really wanted to impress former President Donald Trump on Sunday night.
The former president, and current Republican nominee, attended Sunday night's NFL game between the Pittsburgh Steele… [+1547 chars]"	
Supreme Court hears from two of Trump's longtime antagonists	Welcome back, Deadline: Legal Newsletter readers. The Supreme Court just wrapped its October argument session. The week featured a Joe Biden win on pollution rules, a loss for Donald Trump foe Michae… [+5222 chars]	
Trump plans to pressure police departments to help with mass deportations	As Donald Trump promises the largest mass deportation of undocumented immigrants in U.S. history if re-elected, his team is considering withholding federal police grants from local law enforcement ag… [+4414 chars]	
ABC poll: Immigration, abortion see highest partisan splits in importance	The latest poll conducted by Ipsos and Langer Research for ABC News found that the widest gap between Democrats and Republicans on what issues are considered important were over abortion and immigrat… [+2988 chars]	
Election 2024 live updates: Donald Trump holds rally in Madison Square Garden	"Former President Donald Trump is headlining a hometown rally at New York City's Madison Square Garden on Sunday night.
Trump, born in Queens, New York, likely won't win the dark-blue Empire State on… [+3826 chars]"	
After Trump’s win, some women are considering the 4B movement	"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
I… [+8126 chars]"	
Why Nikki Haley and Mike Pompeo won’t be on Trump’s second term team	Donald Trumps second-term team is just now starting to take shape, with the president-elect selecting Susie Wiles to serve as his White House chief of staff and House Republican Conference Chair Elis… [+2895 chars]	
WATCH: Trump blasted by former chief of staff	"Whats next for Russia? 
What comes next after Texas school shooting?
What's next for abortion rights in America?
The new battle for voting rights
How w… [+2284 chars]"	
Trump threatens to drown out his closing message in the final days of the election	"Are you better off now than you were four years ago?
That has been the question posed by Donald Trump to begin each of his campaign rallies over the past week. 
Pieced together, those more than a h… [+9007 chars]"	
Bill Gates privately said he donated $50 million to a pro-Harris super PAC, The New York Times reports	"Bill Gates made a donation to a pro-Harris super-PAC, three people briefed on the matter told The New York Times.Sean Gallup/Getty Images
Bill Gates said he donated millions to a pro-Harris … [+2977 chars]"	
Trump’s social media stock spikes as America goes to the polls | CNN Business	"Former President Donald Trumps social media company is surging on Election Day as it faces a potential make-or-break moment that will be decided by voters.
Shares of Truth Social owner Trump Media &… [+2346 chars]"	
How Donald Trump won the presidency	Former President Donald Trump is projected to be the next president of the United States, according to an ABC News projection issued at 5:31 a.m. Eastern on Wednesday, Nov. 6. As of 6 a.m. Eastern, G… [+5045 chars]	
Trump has been re-elected. But now we know exactly who he is.	The most unusual presidential election of our lifetimes has ended, and Donald Trump has won, NBC News projects. Now, millions of worried Americans have one question on their minds: What comes next? H… [+5148 chars]	
Trump’s growing threats to strip broadcast licenses send chills across industry | CNN Business	"Broadcast television licensing is not ordinarily a hot topic during a presidential election. But Donald Trumps threats are not ordinary, either.
In the past two years, Trump has called for every maj… [+6838 chars]"	
WATCH: Trump: 'We overcame obstacles that nobody thought possible'	"2024 Election: Kamala Harris projected to win New Jersey, Minnesota
Trump: 'We overcame obstacles that nobody thought possible'
2024 Election: Donald Trump projected to wi… [+4269 chars]"	
Interest spikes in fringe '4B' movement of women who abstain from marriage and sex with men	"The election of Donald Trump as the next U.S. president has triggered a surge of social media posts and internet search interest in South Koreas fringe feminist ""4B"" movement, which calls on women to… [+6736 chars]"	
Harris, Trump locked in dead heat in battleground Wisconsin, new exclusive poll says	"Former President Donald Trump and Vice President Kamala Harris are locked in a dead heat in the battleground state of Wisconsin, according to an exclusive new USA TODAY/Suffolk University poll.
With… [+7061 chars]"	
Bitcoin ETFs see highest daily outflows ever as traders brace for Election Day volatility	"Investors pulled a record amount from bitcoin exchange-traded funds to start the week as they prepared for volatility in the world's largest crypto amid potential election uncertainty. 
Bloomberg da… [+2021 chars]"	
Biden seeks to clean up 'garbage' comment about Trump supporters...	President Joe Biden on Tuesday tried to clean up comments he made earlier that sparked immediate backlash from many who interpreted them as referring to supporters of former President Donald Trump as… [+5091 chars]	
Biden says 'giving up is unforgivable' after Trump's election win	"WASHINGTON President Joe Biden vowed Thursday he will ensure a peaceful transfer of power following President-elect Donald Trump's resounding election victory and told his supporters ""a defeat does n… [+4704 chars]"	
Volatility, higher rates, and surging bitcoin. Here's what analysts are saying about Trump's victory.	"Analysts say Donald Trump's victory ushers in a new era for US economic policy.Justin Sullivan/Getty Images
Donald Trump won a second term in Tuesday's presidential election.Analyst… [+2919 chars]"	
Trump campaign looks to Vance to help them over the finish line in Pennsylvania	From the moment he arrived in Milwaukee, Wisconsin, after being named former President Donald Trump's running mate, it was clear that one of Sen. JD Vance's primary roles was to help deliver battlegr… [+4370 chars]	
What's at stake for Elon Musk in the presidential election?	"Elon Musk, the world's richest person, has launched a far-reaching effort to help elect former President Donald Trump.
Musk, who owns X, frequently posts messages in support of Trump on the social m… [+7841 chars]"	
How Trump broke both parties — and where Democrats go from here: From the Politics Desk	Welcome to the online version of From the Politics Desk, an evening newsletter that brings you the NBC News Politics teams latest reporting and analysis from the campaign trail, the White House and C… [+8893 chars]	
Trump makes gains with some Puerto Ricans this election despite controversial 'garbage' joke	"The controversial ""floating garbage"" joke about Puerto Rico made by a comedian at a rally for Republican President-elect Donald Trump during the final days before the election may not have had the ne… [+3103 chars]"	
Stocks surge to record highs as Trump returns to presidency	All three major indexes hit record highsTrump-linked stocks, Tesla jumpMarket volatility gauge falls sharplyShares of small-cap companies soarNEW YORK U.S… [+4217 chars]	
The world's right-wing leaders celebrate a Trump win — but America's traditional allies hint unease	"President Volodymyr Zelenskyy welcomed Trumps decisive leadership and his peace through strength approach in global affairs.
Some Ukrainians were nonplussed by what they saw as the equivocal support… [+1576 chars]"	
Army report on Trump Arlington Cemetery incident released but almost entirely redacted	The U.S. Armys long-anticipated report on Donald Trumps controversial visit to Arlington National Cemetery in August has been released, but the report sheds little light on what actually happened tha… [+2304 chars]	
Russian smear of Tim Walz hits internet ahead of US election	WASHINGTON U.S. intelligence officials say Russia is behind a fake video smearing Democratic vice-presidential nominee Tim Walz with false sexual abuse allegations as part of an election interference… [+4017 chars]	
