Title	Author	Description	Content	Published At	URL
Trump scores a Joe Rogan interview for the first time, with an eye on male voters	Kelsey Vlamis	Joe Rogan's interview with Donald Trump would be the former president's latest appearance on a podcast that attracts young men.	"Trump has appeared on a series of podcasts that cater to young men.Win McNamee/Getty Images
Trump is set to appear on Joe Rogan's podcast for the first time ever, according to reports.<… [+4283 chars]"	2024-10-22T23:31:13Z	https://www.businessinsider.com/trump-joe-rogan-interview-podcast-young-male-voters-2024-10
Trump 'won fair and square': Business leaders from Mark Cuban to David Sacks react to election result	Noah Sheidlower,Alice Tecotzky,Kwan Wei Kevin Tan,Beatrice Nolan	Here is what some of the most influential business figures have to say about Donald Trump winning the election.	"The business world was divided in the run-up to the election.Anna Moneymaker/Getty Images
Business leaders have been reacting to Donald Trump's presidential election victory.Silicon… [+8169 chars]"	2024-11-06T11:29:35Z	https://www.businessinsider.com/business-leaders-react-donald-trump-winning-election-silicon-valley-2024-11
Harris concedes election, saying she promised Trump a peaceful transfer of power	Erin Snodgrass,Bryan Metzger,Alice Tecotzky	Vice President Kamala Harris publicly conceded the 2024 election to former President Donald Trump in a Wednesday afternoon speech.	"Vice President Kamala Harris delivers a concession speech for the 2024 presidential election on the campus of Howard University in Washington, Wednesday, Nov. 6, 2024.AP Photo/J. Scott Applewhite
<u… [+3904 chars]"	2024-11-06T21:50:05Z	https://www.businessinsider.com/kamala-harris-addresses-nation-following-donald-trump-big-win-election-2024-11
The Federal Reserve gives Americans another interest rate cut	Ayelet Sheffey	Two days after Donald Trump won the presidential election, the Federal Reserve announced a 25-basis-point interest-rate cut.	"Federal Reserve chair Jerome Powell announced another interest rate cut.MANDEL NGAN/AFP via Getty Images; Chelsea Jia Feng/BI
The Federal Reserve cut interest rates by 25 basis points on Thu… [+2827 chars]"	2024-11-07T19:05:58Z	https://www.businessinsider.com/federal-reserve-cuts-interest-rates-quarter-point-powell-inflation-election-2024-11
Company executives are speaking out on Election Day: Starbucks' Howard Schultz calls for a peaceful transition of power	ggoodwin@businessinsider.com (Grace Eliza Goodwin)	Business leaders including Howard Schultz, Elon Musk, and Reid Hoffman weigh in on Election Day for Donald Trump, Kamala Harris — or simply peace.	Election Day has finally come, and executives at some of the biggest companies are speaking out with former Starbucks CEO Howard Schultz urging a peaceful transition of power and Elon Musk reiteratin… [+8192 chars]	2024-11-05T22:01:56Z	https://www.businessinsider.com/election-day-executives-speak-trump-harris-starbucks-meta-musk-2024-11
The Polymarket 'whale' actually made $85 million, far more than originally thought	fdemott@insider.com (Filip De Mott)	The Polymarket trader who bet millions that Donald Trump would win had more accounts than was previously known, according to Chainalysis.	"A Polymarket trader who bet tens of millions on Donald Trump's presidential win appears to have raked in a much larger profit than previously known.
A new estimate now places that figure at more tha… [+1029 chars]"	2024-11-07T21:01:39Z	https://www.businessinsider.com/polymarket-whale-banked-85-million-profit-trump-president-election-win-2024-11
Election betting odds tighten as polls show Harris has momentum	mfriel@businessinsider.com (Mikhaila Friel)	Kamala Harris' odds jumped overnight following a new poll that showed she held a surprise lead over Donald Trump in Iowa.	"Vice President Kamala Harris' betting odds jumped overnight after a new poll showed she held a surprise lead over former President Donald Trump in Iowa a state he won easily in both 2016 and 2020.
A… [+1284 chars]"	2024-11-03T16:27:18Z	https://www.businessinsider.com/election-betting-markets-kamala-harris-gains-donald-trump-2024-11
Fed Chair Powell stands firm amid questioning about whether Trump will push him out	asheffey@businessinsider.com (Ayelet Sheffey)	"Fed chair Jerome Powell said he won't resign even if President-elect Donald Trump asks him to leave, saying that it's ""not permitted under the law."""	"Federal Reserve chair Jerome Powell has no plans to leave the central bank prematurely under President-elect Donald Trump.
On Thursday, the Federal Open Market Committee announced a 25-basis-point i… [+2171 chars]"	2024-11-07T20:59:49Z	https://www.businessinsider.com/powell-wont-resign-federal-reserve-step-down-trump-election-2024-11
Elon Musk is going 'founder mode' in his bid to get Donald Trump elected	Tim Paradis	Elon Musk's approach to helping Donald Trump get elected is similar to how the Tesla CEO runs businesses. It's not clear in this case if it'll work.	"Elon Musk is campaigning for Trump with an intensity that resembles how he runs his companies. Getty Images; Jenny Chang-Rodriguez/BI
Elon Musk's efforts to boost support for Donald Trump re… [+4516 chars]"	2024-10-25T16:53:28Z	https://www.businessinsider.com/elon-musk-donald-trump-support-reflects-business-approach-tesla-2024-10
'Shark Tank' star Mark Cuban says Donald Trump's China tariffs would ruin Christmas next year	Theron Mohamed	"Mark Cuban said Donald Trump would be ""the Grinch that stole Christmas"" as a 60% tariff on Chinese imports may raise the price of presents next year."	"""Shark Tank"" star Mark Cuban said Donald Trump's planned tariffs would ruin Christmas next year.Allen Berezovsky via Getty Images; Jeff Kowalsky/AFP via Getty Images
Donald Trump's planned t… [+2250 chars]"	2024-10-24T11:30:37Z	https://www.businessinsider.com/mark-cuban-donald-trump-tariffs-christmas-presents-china-prices-harris-2024-10
Putin's allies celebrated as Trump closed in on victory	Tom Porter	Kremlin officials and allies welcomed Donald Trump's victory in the US election. However, they have reasons to be wary.	"Russian President Vladimir Putin at the Grand Kremlin Palace on November 5 2024, in Moscow.Contributor/Getty Images
Kremlin officials and allies welcomed Donald Trump's 2024 election win.</l… [+4658 chars]"	2024-11-06T12:43:47Z	https://www.businessinsider.com/putin-kremlin-allies-celebrate-donald-trump-election-victory-russia-reaction-2024-11
Did you need another reminder that Donald Trump watches TV? Here you go.	pkafka@insider.com (Peter Kafka)	Twitter - and Elon Musk — are important for Trump 2.0. But Trump has always been a TV person and that's not going to change.	"Earlier this week, I wondered how much Twitter was going to influence the next Trump administration and how much influence we'd see from TV, which was tremendously important the first time around.
H… [+3102 chars]"	2024-11-13T17:49:21Z	https://www.businessinsider.com/pete-hegseth-trump-fox-twitter-elon-musk-influence-2024-11
Meet Miriam Adelson, the billionaire GOP donor who's given $100 million to support Donald Trump's campaign	Talia Lakritz	GOP megadonor Miriam Adelson is the widow of businessman Sheldon Adelson. Take a closer look at her wealth and political leanings.	"Miriam Adelson with Donald Trump.JIM WATSON/AFP via Getty Images
Miriam Adelson, 79, is the widow of casino magnate Sheldon Adelson.The Adelsons donated hundreds of millions of doll… [+7271 chars]"	2024-10-29T16:13:38Z	https://www.businessinsider.com/miriam-adelson-sheldon-adelson-net-worth-donald-trump-2024-10
How election polls are actually getting better	Robert Leslie,Teresa Zhang,Sarah Wyman	When pollsters failed to see the surge of support for Donald Trump in 2016 and 2020, it seemed like a low point for the political survey industry.	When pollsters failed to see the surge of support for Donald Trump in 2016 and 2020, it seemed like a low point for the industry. But in fact, surveys are getting more accurate, as a look through the… [+60 chars]	2024-10-18T14:56:40Z	https://www.businessinsider.com/how-election-polls-are-actually-getting-better-2024-10
Trump wins Georgia, a key victory in the hotly contested purple state	John L. Dorman	Both Vice President Kamala Harris and former President Donald Trump campaigned heavily in Georgia, a pivotal state that voted for Joe Biden in 2020.	"Getty Images; Jenny Chang-Rodriguez/BI
Trump has won the state of Georgia.Georgia, one of the most heavily contested states this year, has 16 electoral votes.Donald Trump w… [+1838 chars]"	2024-11-06T05:37:27Z	https://www.businessinsider.com/georgia-presidential-election-results-2024-11
Who Wall Street thinks will win the election	Bradley Saacks	A survey of professional investors on the platform SumZero, along with other big finance names are expecting a win for former president Donald Trump.	"(Photo by Mario Tama/Getty Images)
A survey of 119 investors found that 53% think former president Donald Trump will defeat Kamala Harris.Investors believe fossil fuel and industria… [+2839 chars]"	2024-11-04T10:51:02Z	https://www.businessinsider.com/wall-street-election-predictions-professional-investor-survey-2024-11
Trump judge releases 1,889 pages of additional election interference evidence against the former president	Natalie Musumeci	The unsealing of the documents comes after Donald Trump failed in a final attempt to delay the release until after the presidential election.	"More of prosecutors' evidence in the election interference case against Donald Trump has been released.Kevin Dietsch/Getty Images
A federal judge has released additional evidence against Don… [+1359 chars]"	2024-10-18T15:06:42Z	https://www.businessinsider.com/donald-trump-judge-release-additional-evidence-election-interference-case-2024-10
Trump complains to judge that Kamala Harris has used Jack Smith's evidence in ads	Natalie Musumeci,Brent D. Griffiths	Donald Trump is fighting to delay yet another release of more of prosecutors' evidence in the 2020 election interference case against him.	"Donald Trump and Kamala HarrisJim Vondruska and Brandon Bell/Getty Images
Donald Trump is seeking to delay the release of more documents in his election interference case.Trump's la… [+4289 chars]"	2024-10-17T18:00:32Z	https://www.businessinsider.com/trump-kamala-harris-election-interference-case-jack-smith-ads-02024-10
Russia claims it doesn't care who wins the US election. Its state media tells another story.	Hannah Abraham	Kamala Harris' tendency to burst out laughing has been ridiculed on Russian state TV.  Meanwhile, Donald Trump has been portrayed as confident.	"Despite claims that it doesn't care, Russia's state media has consistently favored Donald TrumpBRENDAN SMIALOWSKI/AFP via Getty Images
Despite the Kremlin's neutral stance, Russian state med… [+4696 chars]"	2024-10-22T15:28:06Z	https://www.businessinsider.com/russia-state-media-trump-harris-presidential-us-election-putin-kremlin-2024-10
No recession risk regardless of who wins the White House, says Blackstone's Steve Schwarzman	Theron Mohamed	Blackstone CEO Steve Schwarzman said the US economy looks robust and both Donald Trump and Kamala Harris are running on pro-growth policies.	"Steve Schwarzman is CEO of Blackstone, which manages assets of about $1 trillion.Reuters
Steve Schwarzman doesn't expect a recession whether Donald Trump or Kamala Harris win the election.</… [+3127 chars]"	2024-10-23T12:24:02Z	https://www.businessinsider.com/us-economy-recession-outlook-schwarzman-blackstone-trump-harris-election-inflation-2024-10
Tesla ends the week on a high fueled by earnings 'surprise'	Ana Altchek	"""The negative narrative was proven to be 100% wrong,"" Global Equities analyst Trip Chowdhry said of worry over Elon Musk's support for Donald Trump."	"Analysts say the element of surprise may have been a factor in Tesla's stock surge this week.Frederic J. Brown/Getty
Tesla stock has surged since the company reported earnings on Wednesday.<… [+2842 chars]"	2024-10-26T00:44:07Z	https://www.businessinsider.com/tesla-stock-price-ends-week-high-after-earnings-2024-10
Elon Musk boosts Trump at rally underscored by racist rhetoric as Beyoncé rallies behind Harris	Erica Star Domena,Selima Hussain	Elon Musk voiced his support for Donald Trump at a New York City rally, but the event was underscored by crude commentary from other speakers.	Elon Musk voiced his support for Donald Trump at a New York City campaign rally Sunday, but the event was underscored by crude and racist commentary from other speakers. Meanwhile, celebrities like B… [+132 chars]	2024-10-28T20:31:58Z	https://www.businessinsider.com/elon-musk-tony-hinchcliffe-boost-trump-rally-beyonce-harris-2024-10
Elon Musk said he'd push to regulate autonomous driving on the federal level 'if there's a department of government efficiency'	Kelsey Vlamis,Lloyd Lee	Musk previously said he would be enthusiastic to take on a White House role centered on enforcing government efficiency should Donald Trump win.	"Elon Musk, who has been campaigning for Donald Trump, has offered to take on a role in the White House, overseeing government efficiency.Michael Swensen/Getty Images
Elon Musk pushed for fed… [+2358 chars]"	2024-10-23T23:40:38Z	https://www.businessinsider.com/elon-musk-tesla-autonomous-vehicle-federal-regulation-trump-white-house-2024-10
How the Secret Service actually works, according to a former special agent	Kevin Reilly,Dylan Brzezinski	Kenneth Valentine served in the US Secret Service for 24 years.  He discusses the assassination attempts on former President Donald Trump.	Kenneth Valentine served as a special agent in the US Secret Service for 24 years. He protected three sitting presidents: Bill Clinton, George W. Bush, and Barack Obama.Valentine gives insight into w… [+626 chars]	2024-10-22T21:08:01Z	https://www.businessinsider.com/how-secret-service-actually-works-former-agent-2024-10
Volatility, higher rates, and surging bitcoin. Here's what analysts are saying about Trump's victory.	Will Martin	The economic impact of a second term for Donald Trump is likely to be volatile, with public spending set to remain high, one commentator wrote.	"Analysts say Donald Trump's victory ushers in a new era for US economic policy.Justin Sullivan/Getty Images
Donald Trump won a second term in Tuesday's presidential election.Analyst… [+2919 chars]"	2024-11-06T12:12:26Z	https://www.businessinsider.com/donald-trump-victory-wall-street-reaction-economy-inflation-public-spending-2024-11
Sales of 'The Handmaid's Tale' rose nearly 7,000% this week on Amazon — but 'Melania' takes the No. 1 bestseller spot	ggoodwin@businessinsider.com (Grace Eliza Goodwin)	"Sales of ""The Handmaid's Tale"" rose sharply on Amazon in the wake of Donald Trump's election, rising to No. 2. Melania Trump's memoir was No. 1."	"Since Donald Trump was declared the winner of the 2024 election, Margaret Atwood's 1985 dystopian novel ""The Handmaid's Tale"" has surged from No. 209 to No. 2 on the Amazon Best Sellers list.
By Thu… [+2064 chars]"	2024-11-08T21:20:56Z	https://www.businessinsider.com/handmaids-tale-book-sales-rise-melania-after-trump-win-election-2024-11
Kamala Harris mocks Donald Trump as she joins long list of politicians to cameo on 'Saturday Night Live'	Eve Crosbie	During her cameo, Harris appeared to poke fun at a recent video of Trump struggling to climb into a garbage truck at a campaign event.	"Vice President Kamala Harris joined actor Maya Rudolph on ""Saturday Night Live.""Charly Triballeau/AFP via Getty Images
Kamala Harris appeared on ""Saturday Night Live"" for a cameo ahead of th… [+2923 chars]"	2024-11-03T17:19:43Z	https://www.businessinsider.com/kamala-harris-mocks-donald-trump-surprise-saturday-night-live-cameo-2024-11
Elon Musk says at a New York Trump rally that he could save the country $2 trillion through a department of efficiency	Katherine Tangalakis-Lippert	In a speech at Donald Trump's Sunday rally, Elon Musk said he could save the US trillions of tax dollars with an efficiency department.	Elon Musk on Sunday gave a brief speech at a campaign rally for Donald Trump in New York in which he said he'd save the US $2 trillion through a department of government efficiency.ANGELA WEISS/AFP v… [+2049 chars]	2024-10-28T00:57:04Z	https://www.businessinsider.com/donald-trump-rally-elon-musk-save-department-government-efficiency-2024-10
Saudi Arabia's ruler used to be one of Trump's biggest fans. This time it's complicated.	tporter@businessinsider.com (Tom Porter)	The Middle East's in chaos, and Gulf state leaders may fear that Donald Trump will make it worse.	"Donald Trump's first trip as US president to Saudi Arabia in 2017 was a lavish spectacle.
He joined a traditional sword dance, had his image projected onto the Ritz Carlton in Riyadh, and signed a m… [+5338 chars]"	2024-11-13T16:58:13Z	https://www.businessinsider.com/trump-return-power-saudi-ruler-mbs-complicated-relationship-middle-east-2024-11
Trump's presidency could help small-cap stocks soar in the coming years, Fundstrat's Tom Lee says	jsor@businessinsider.com (Jennifer Sor)	Small-cap stocks, supported by a pro-business Trump administration, could soar in the coming years, Fundstrat's Tom Less said.	"Donald Trump's presidency could drive monster gains in a particular corner of the stock market in the coming years, according to Fundstrat's head of research Tom Lee.
Speaking to CNBC on Friday, the… [+1864 chars]"	2024-11-08T16:20:08Z	https://markets.businessinsider.com/news/stocks/trump-stock-market-outlook-sp500-small-caps-rally-investing-fundstrat-2024-11
Trump Media, Tesla, and crypto stocks surge as Trump wins — and clean energy companies tumble	tmohamed@insider.com (Theron Mohamed)	Shares of Trump's social media company, Elon Musk's Tesla, and both Coinbase and MicroStrategy jumped in anticipation of a second Trump term.	"Donald Trump's victory in the presidential election boosted shares of his social media company, Elon Musk's Tesla, as well as cryptocurrencies and related stocks on Wednesday.
The former president's… [+2257 chars]"	2024-11-06T11:28:46Z	https://markets.businessinsider.com/news/stocks/trump-media-truth-social-djt-tesla-stock-crypto-election-energy-2024-11
Dogecoin spikes another 15% after Musk appointed to lead DOGE department for Trump	fdemott@insider.com (Filip De Mott)	Dogecoin spiked again on Wednesday after Donald Trump appointed Elon Musk to help lead the Department of Government Efficiency, or DOGE.	"Dogecoin has gotten a big boost since Donald Trump won the presidential election last week amid a market-wide surge for cryptos of all types.
The dog-themed crypto had surged roughly 140% since Nove… [+1451 chars]"	2024-11-13T16:42:21Z	https://markets.businessinsider.com/news/currencies/dogecoin-price-elon-musk-doge-department-trump-crypto-president-election-2024-11
Steve Schwarzman says Trump would be an 'efficient and effective' president this time — and Ken Griffin thinks he'll win	Polly Thompson	Blackstone CEO Steve Schwarzman and Citadel's Ken Griffin weighed in on the election during a panel at Saudi Arabia's Future Investment Initiative.	"Blackstone CEO Steve Schwarzman announced his endorsement of Trump in May. Jim Watson/AFP/Getty Images
Blackstone CEO Steve Schwarzman said he thinks Trump would make a better president the … [+2269 chars]"	2024-10-29T13:38:43Z	https://www.businessinsider.com/finance-ceos-supporting-trump-blackstone-steve-schwarzman-citadel-ken-griffin-2024-10
One week out from the election, Jared Kushner and Ivanka Trump still say they're set on moving on from Trumpworld	Kwan Wei Kevin Tan	"""We're rooting for him — obviously, we're proud of him. But, you know, either way, our life will just continue to move forward,"" Kushner said of Trump."	"Ivanka Trump and Jared Kushner standing on stage with former President Donald Trump and Melania Trump during the Republican National Convention.Jason Armond/Los Angeles Times via Getty Images
<l… [+3385 chars]"	2024-10-30T09:40:52Z	https://www.businessinsider.com/jared-kushner-ivanka-trump-moving-on-trumpworld-election-results-2024-10
Photos show the biggest moments of the 2024 election so far	Talia Lakritz	The 2024 presidential election has been full of memorable moments and unexpected twists.	"Donald Trump and Kamala Harris on the debate stage.SAUL LOEB / AFP
The 2024 election has been full of memorable moments and unexpected twists.It began as a Trump-Biden rematch, then… [+13730 chars]"	2024-10-31T15:39:27Z	https://www.businessinsider.com/donald-trump-kamala-harris-election-biggest-moments-photos-2024-10
Tesla hits a $1 trillion market cap after the stock rallies 27% following Trump's election win	mfox@businessinsider.com (Matthew Fox)	While a second Trump presidency is seen as potentially negative for electric vehicles more broadly, his policies could benefit Tesla.	"Tesla hit a $1 trillion market valuation for the first time since April 2022.
The stock surged as much as 7% on Friday to an intraday peak of $319.44, with shares soaring 27% since Donald Trump was … [+1455 chars]"	2024-11-08T15:55:42Z	https://markets.businessinsider.com/news/stocks/tesla-stock-price-trillion-valuation-donald-trump-election-win-tsla-2024-11
Ukrainian soldiers greet Trump's victory with a new kind of anxiety	mjankowicz@businessinsider.com (Mia Jankowicz,Sinéad Baker,Jake Epstein)	Ukraine is bracing itself for another Trump presidency and what it could mean for the war. Soldiers told BI of their hopes, fears, and uncertainties.	"Ukrainian soldiers holding back Russia's invasion woke up toan uncertain future after Donald Trump's presidential election victory on Wednesday.
They told Business Insider about their hopes and fear… [+5554 chars]"	2024-11-07T14:41:33Z	https://www.businessinsider.com/ukraine-soldiers-react-trump-election-win-war-russia-military-aid-2024-11
These Trump loyalists named to roles in the new administration once flocked to a courtroom for his criminal trial	Natalie Musumeci	Four loyalists who rallied behind President-elect Donald Trump during his criminal hush-money trial have been tapped for roles in his administration.	"An entourage of GOP elites rallied behind President-elect Donald Trump during his criminal hush-money trial.Curtis Means - Pool/Getty Images
Allies of Donald Trump who backed him during his … [+3437 chars]"	2024-11-14T22:00:12Z	https://www.businessinsider.com/donald-trump-loyalists-picked-new-administration-hush-money-trial-2024-11
Want to feel old? Gen Z is discovering the horrors of the 2016 election — but that's not a bad thing.	Katie Notopoulos	"Donald Trump's lewd ""Grab 'em"" comments that came to light in 2016 are resurfacing on TikTok. Yes, millennials, we're officially old. But that's OK."	"Billy Bush interviewed Donald Trump on ""Access Hollywood"" in 2015. Conversations between the two from 2005 resurfaced in the last presidential electionRob Kim/Getty Images
Gen Z is apparentl… [+3532 chars]"	2024-11-02T18:23:01Z	https://www.businessinsider.com/gen-z-donald-trump-grab-em-tiktok-explained-2024-11
McDonald's is the latest election battleground for Trump and Harris	Alex Bitter	Presidential candidates have often invoked McDonald's during their runs for the White House, both as a place to eat and as a place to work.	"Donald Trump visited a McDonald's restaurant on Sunday.Doug Mills/Pool via REUTERS
Donald Trump visited a McDonald's in Pennsylvania on Sunday.It was the latest in a long tradition … [+3862 chars]"	2024-10-21T20:16:05Z	https://www.businessinsider.com/mcdonalds-is-latest-election-battleground-for-trump-and-harris-2024-10
What mattered more to Trump: Musk's money, or Musk's platform?	Peter Kafka	The world's richest man spent at least $130 million on Trump's campaign. He also seemed to steer Twitter toward Trump. Which mattered more?	"Elon Musk's support for Trump helped land him an onstage appearance at last month's Madison Square Garden rally.Jabin Botsford/The Washington Post via Getty Images
Elon Musk's Twitter purcha… [+3160 chars]"	2024-11-06T16:47:10Z	https://www.businessinsider.com/elon-musk-twitter-donald-trump-wealth-campaign-influence-2024-11
John Kelly says Trump told him more than once that Hitler 'did some good things'	Grace Eliza Goodwin	"Trump's former chief of staff John Kelly confirmed previous reports that Trump told him Hitler ""did some good things,"" The New York Times reported."	"John Kelly (right) is speaking out against his former boss, Donald Trump.Andrew Harrer-Pool/Getty Images
John Kelly says Trump told him that Hitler ""did some good things,"" the New York Times… [+3094 chars]"	2024-10-23T19:31:58Z	https://www.businessinsider.com/john-kelly-says-trump-told-him-hitler-did-good-things-2024-10
How political violence has rocked US elections	Havovi Cooper,Lilian Manansala,Erica Berenstein	Attacks and intimidation surrounding the elections aren't new. We take a look at such incidents in the US, from the present day to the 1800s.	Many Americans are concerned about the risk of political violence in a tight race between Kamala Harris and Donald Trump. But attacks and intimidation surrounding the elections aren't new. We take a … [+112 chars]	2024-11-06T05:34:36Z	https://www.businessinsider.com/election-political-violence-us-history-ballot-boxes-politics-2024-11
How long will it take to call the 2024 US election?	Havovi Cooper,John L. Dorman,Selima Hussain,Erica Star Domena	Senior politics reporter John Dorman breaks down when we might know the election results in key swing states.	The US presidential election is almost here — but how long will it take before we know whether Vice President Kamala Harris or former President Donald Trump won the race? Senior politics reporter Joh… [+68 chars]	2024-10-25T18:54:12Z	https://www.businessinsider.com/how-long-will-it-take-to-call-us-presidential-election-2024-10
What Trump's win means for the consulting industry	Kelsey Vlamis,Lakshmi Varanasi	Donald Trump's presidency could lead to a boost in demand for consulting services	"Donald Trump's return to the Oval Office could increase demand for consulting services.Doug Mills-Pool/Getty Images
Trump's win could provide a much-needed boost to the consulting industry.<… [+5897 chars]"	2024-11-13T21:37:45Z	https://www.businessinsider.com/trump-election-win-impact-consulting-industry-big-firms-2024-11
The Trump trade is taking off on election night	htan@insider.com (Huileng Tan)	The US dollar, Treasury yields, and stock futures traded up on higher betting market odds of a Trump win.	"Markets are turning to the Trump trade on election night as betting odds move in favor of Republican candidate and former President Donald Trump.
While the election is far too early to call, online … [+3177 chars]"	2024-11-06T03:40:07Z	https://markets.businessinsider.com/news/stocks/trump-trade-us-presidential-election-dollar-treasuries-stocks-crypto-djt-2024-11
The blue wall was Kamala Harris' clearest path to the White House. Here's why it faded away.	John L. Dorman	Vice President Harris sought to bring together the coalition that had elected President Biden. But an array of challenges proved to be insurmountable.	"Vice President Kamala Harris made a final push for votes with an Election Day eve rally in Philadelphia.AP Photo/Jacquelyn Martin
Democrats hoped Vice President Harris could win the White Ho… [+5698 chars]"	2024-11-10T19:10:58Z	https://www.businessinsider.com/harris-trump-blue-wall-democrats-suburban-voters-unions-2024-11
The S&P 500 will gain 11% by mid-2025 as the bull market accelerates under Trump, Evercore says	kcloonan@insider.com (Kelly Cloonan)	"""This market will be driven higher by the policy prospect of deregulation in DC,"" Emanuel wrote in a Wednesday note."	"It is still early days for the bull market and the rally is set to accelerate under the coming Donald Trump presidency, according to Evercore ISI analyst Julian Emanuel.
Emanuel says the S&amp;P 500… [+1488 chars]"	2024-11-07T20:58:39Z	https://markets.businessinsider.com/news/stocks/stock-market-outlook-bull-rally-trump-deregulation-tax-cuts-evercore-2024-11
